Flow Rate (L/min),Inlet Temperature (°C),Outlet Temperature (°C),Delta Temperature (°C),Pressure (Bar),Delta Pressure (Bar),Power Consumption (kW),Vibration (m/s²),Ambient Temperature (°C),Time of Day,Cooling Load (kW),Motor Speed (RPM),Regular RPM (RPM),Energy Usage (Regular RPM) (kW),Optimal RPM,Energy Usage (Optimal RPM) (kW),Anomaly Detection Index (ADI),Efficiency Percentage (%),Remaining Lifespan (years),Current Reduction (%),New Reduction (%),Energy Reduction (%)
1061.8101782710437,37.87271040554885,32.47281636933397,9.996702437290534,3.9199932439598815,0.1369483357103586,35.52578273488696,1.257845998875402,29.48368061806625,Off-Peak,23.99936119162512,1500.3118509897874,1500,28.253677764185973,1275.2650733413193,16.952206658511585,0.0048488703939732,94.92652725700395,9.492652725700395,30.000000000000004,40.50000000000001,40.0
1926.0714596148744,39.46871318750043,31.658241924628065,12.467467725125942,1.7380479823948465,0.124301491835208,28.371698141367723,0.1739165887498852,26.422266627430872,Off-Peak,67.23024516590056,1619.1371518568722,1500,21.260912289579583,1376.2665790783412,12.75654737374775,0.0007619597293325,99.41545846372986,9.941545846372986,29.999999999999996,40.5,40.0
1597.9909127171077,47.090947864043606,28.5230782500572,10.626667806563333,2.3865587774795447,0.3416767802974656,48.57994099455763,1.2632946476657956,26.89538837458324,Peak,73.62828995908598,1373.243701539487,1500,38.659098305174034,1167.2571463085635,23.195458983104423,0.0088851167569311,90.49324408948254,9.049324408948252,30.000000000000004,40.5,39.99999999999999
1397.987726295555,36.80008772119784,37.14533340202976,5.833025831117964,3.653122547431273,0.4864465289971019,18.759138039369528,0.2703703528518208,27.71006692271383,Off-Peak,69.6522712996985,1257.3116602084358,1500,49.70520521613466,1068.7149111771705,29.823123129680795,0.0070110214772378,92.55169005899636,9.255169005899637,30.0,40.5,40.0
734.0279606636548,47.39299369624342,34.53248321017258,6.855802367835554,2.92835737809792,0.3010885235818896,33.51425663995762,1.44965405318562,28.054800015474225,Off-Peak,63.31814815935184,1430.9603336255984,1500,34.04760256763996,1216.3162835817586,20.428561540583978,0.0130235381099806,85.94773519959887,8.594773519959887,30.00000000000002,40.500000000000014,40.0
733.991780504304,31.76268861953383,42.31401984648007,7.193281840309192,3.9542841545395753,0.120606090375722,38.008400599608905,0.8411475285037681,28.63392713815816,Peak,33.97472725035912,1780.004847815519,1500,29.918570786723148,1500.0,17.95114247203389,0.0026690813936297,97.32073737575638,9.732073737575638,30.00000000000001,40.50000000000001,40.0
587.1254182522991,45.53596874417261,25.642191609641166,7.578642536448449,4.844831604891439,0.1884874624309824,43.022579573815264,1.6916233339801854,28.83190043445241,Off-Peak,87.27631157082172,1036.0724304370538,1500,35.85518241954695,880.6615658714957,21.51310945172817,0.0074112197076398,92.11212519625772,9.211212519625771,30.0,40.5,40.0
1799.2642186624028,46.95095266109473,37.877358551102525,10.654033919505045,1.46618675086079,0.1979171625663082,26.278841217120284,1.890805566003748,31.83574518231304,Off-Peak,46.204394908819886,1422.9326425855547,1500,58.36518179142162,1209.4927461977215,35.01910907485298,0.0142404632493552,84.6111037724306,8.46111037724306,30.000000000000004,40.5,39.99999999999999
1401.6725176148132,33.63635305674678,40.25897757023122,10.039657798253934,3.838270865592244,0.23514285165478,37.47687630629926,0.892509648784657,32.64359786239062,Off-Peak,98.89425568903084,1263.4116019005617,1500,36.92648376072455,1073.8998616154774,22.15589025643473,0.0055999134567507,94.10160571632392,9.410160571632392,30.0,40.5,40.0
1562.1088666940682,38.60693064744401,40.189731383766144,7.03160038364209,1.921376622528458,0.117441353434485,22.12805885537131,0.9750550614001176,29.633188121895337,Peak,50.78862383153524,1084.280191137889,1500,30.38552350102384,921.6381624672056,18.231314100614306,0.00517495849195,94.56836257975412,9.45683625797541,30.00000000000003,40.50000000000002,40.0
